2792
1214 940 941 5271 974 5811 5812
1230 5247 875 876 5851 909 5852
1248 5353 828 829 5902 842 5903
1249 3413 4682 4012 5904 5905 5906
1254 872 3869 4770 5918 5919 5920
1256 3451 4643 5546 5924 5925 5926
1262 3632 3869 4850 5941 5942 5943
1263 3684 4012 4682 5944 5905 5945
1274 819 820 5343 833 5975 5976
1284 5271 941 4007 5811 6003 6004
1287 4012 875 5247 6011 5851 6012
1301 3459 3971 4929 6049 6050 6051
1304 4070 3470 5273 6058 6059 6060
1311 4934 4070 5273 6078 6060 6079
1314 5261 4643 3700 6085 6086 6087
1370 825 3879 4805 6230 6231 6232
1381 3976 5546 4643 6260 5925 6261
1398 4076 828 5353 6299 5902 6300
1399 4187 4643 5261 6301 6085 6302
1411 5343 820 4073 5975 6332 6333
1417 874 4905 4148 6348 6349 6350
1430 3451 5110 4643 6384 6385 5924
1449 3632 4770 3869 6431 5919 5941
1455 825 4816 3879 6443 6444 6230
1463 872 4790 3869 6461 6462 5918
1470 3669 3879 4924 6480 6481 6482
1483 4197 5254 4547 6513 6514 6515
1484 3669 4805 3879 6516 6231 6480
1498 3459 4929 5254 6051 6544 6545
1499 3326 4197 4547 6546 6515 6547
1541 5441 3552 4414 6651 6652 6653
1563 873 874 4148 907 6350 6706
1581 827 4991 4184 6748 6749 6750
1613 869 870 4052 903 6826 6827
1614 5572 4589 3804 6828 6829 6830
1625 3652 3990 4468 6855 6856 6857
1635 3464 5556 4547 6878 6879 6880
1690 4269 4589 5572 7005 6828 7006
1692 826 827 4184 840 6750 7009
1739 3418 4076 5447 7108 7109 7110
1796 3284 5158 4564 7232 7233 7234
1816 3285 4785 4070 7272 7273 7274
1831 3418 5131 4076 7302 7303 7108
1834 3681 4070 4785 7308 7273 7309
1892 3464 4547 5096 6880 7431 7432
1904 3869 4197 4850 7458 7459 5942
1915 3976 4547 5556 7483 6879 7484
1917 3684 4148 4905 7487 6349 7488
1951 3413 4012 5413 5906 7565 7566
1955 3326 4643 4187 7572 6301 7573
1961 3806 5413 4012 7588 7565 7589
1991 822 823 4098 836 7661 7662
2002 3470 4137 4472 7688 7689 7690
2020 3902 4564 5158 7722 7233 7723
2054 871 872 4770 905 5920 7788
2059 3459 5109 3971 7800 7801 6049
2076 3818 5447 4076 7833 7109 7834
2117 3710 5113 4073 7923 7924 7925
2148 3711 4184 4991 7985 6749 7986
2170 4073 5113 5413 7924 8026 8027
2181 3336 4589 4269 8051 7005 8052
2185 870 5019 4052 8058 8059 6826
2215 3711 4076 5131 8119 7303 8120
2263 3326 4547 3976 6547 7483 8210
2264 3589 4472 3987 8211 8212 8213
2353 3326 3976 4643 8210 6261 7572
2365 875 4012 4905 6011 8409 8410
2368 3285 4354 5328 8415 8416 8417
2464 3472 4184 4920 8600 8601 8602
2465 3652 5056 3990 8603 8604 6855
2467 3806 4012 5247 7589 6012 8607
2469 941 4759 4007 8609 8610 6003
2472 3684 4905 4012 7488 8409 5944
2473 3711 4920 4184 8614 8601 7985
2481 824 825 4805 838 6232 8629
2493 3918 5328 4354 8653 8416 8654
2518 3589 3987 4995 8213 8702 8703
2527 822 4098 4402 7662 8718 8719
2556 3752 4547 5254 8769 6514 8770
2613 4007 4759 5023 8610 8873 8874
2621 3459 4197 5420 8890 8891 8892
2625 3879 4249 4924 8900 8901 6481
2639 3869 5420 4197 8924 8891 7458
2684 3470 4472 4200 7690 9011 9012
2690 3589 4200 4472 9022 9011 8211
2749 3879 5396 4249 9127 9128 8900
2750 3470 4070 4719 6058 9129 9130
2754 3472 4249 5396 9135 9128 9136
2779 3652 4468 5023 6857 9186 9187
2803 4137 5214 4472 9231 9232 7689
2813 3652 5023 4759 9187 8873 9248
2833 3990 4785 5328 9285 9286 9287
2840 828 4076 4991 6299 9297 9298
2857 820 4983 4073 9326 9327 6332
2869 3711 4991 4076 7986 9297 8119
2881 3285 5328 4785 8417 9286 7272
2886 3710 4073 4983 7925 9327 9372
2891 3413 5413 5113 7566 8026 9379
2895 3284 4564 5445 7234 9387 9388
2912 3918 5131 4468 9417 9418 9419
2937 3418 4468 5131 9469 9418 7302
3003 869 4052 4675 6827 9586 9587
3019 4249 5361 5278 9614 9615 9616
3021 3681 5220 4070 9619 9620 7308
3027 3818 4076 5353 7834 6300 9630
3030 3470 4719 4137 9130 9635 7688
3058 877 5094 5247 9683 9684 9685
3081 3552 5042 4137 9725 9726 9727
3120 3752 5096 4547 9798 7431 8769
3152 823 5083 4098 9856 9857 7661
3156 943 4796 4116 9864 9865 9866
3174 939 5271 5124 9893 9894 9895
3222 3589 4589 4200 9976 9977 9022
3224 3336 4200 4589 9981 9977 8051
3225 3285 4070 4934 7274 6078 9982
3238 3285 4934 4354 9982 10000 8415
3254 870 871 5019 904 10024 8058
3271 818 5343 5094 10050 10051 10052
3327 830 5124 5353 10136 10137 10138
3330 3336 4249 5278 10143 9616 10144
3338 821 822 4402 835 8719 10157
3370 943 4116 5590 9866 10210 10211
3372 3469 5673 4098 10214 10215 10216
3374 3652 5590 4116 10220 10210 10221
3379 3971 5109 4682 7801 10228 10229
3385 3326 4187 4850 7573 10238 10239
3398 871 4770 5019 7788 10258 10024
3403 3684 4682 5109 5945 10228 10266
3412 3450 5056 4116 10277 10278 10279
3414 3459 4148 5109 10282 10283 7800
3418 3652 4116 5056 10221 10278 8603
3421 3684 5109 4148 10266 10283 7487
3428 3632 4850 4187 5943 10238 10301
3440 3469 4098 5234 10216 10318 10319
3452 3552 4137 4719 9727 9635 10337
3454 876 877 5247 910 9685 5852
3458 3632 5145 5019 10345 10346 10347
3509 4052 5019 5145 8059 10346 10424
3542 10 818 5094 831 10052 10475
3543 873 4148 4790 6706 10476 10477
3551 818 819 5343 832 5976 10050
3557 939 940 5271 973 5812 9893
3563 4098 5083 5234 9857 10512 10318
3564 3450 4116 5467 10279 10513 8670
3565 3733 5278 5361 10514 9615 10515
3575 10 5094 877 10475 9683 911
3586 3733 4354 4934 10543 10000 10544
3591 3669 5234 5083 10551 10512 10552
3602 3669 4924 4269 6482 10568 10569
3607 5638 3681 4785 10578 7309 10579
3616 3336 4269 4924 8052 10568 10591
3624 4982 3681 5638 10602 10578 10603
3628 829 830 5353 843 10138 5903
3634 11 5124 830 10615 10136 844
3651 3589 4995 5342 8703 10641 10642
3656 11 939 5124 972 9895 10615
3743 3464 5096 4995 7432 10778 10779
3752 4055 4995 5096 10794 10778 10795
3757 4052 5145 5333 10424 10803 10804
3759 826 4184 4816 7009 10806 10807
3769 3238 5214 5042 10819 10820 10821
3777 4055 5342 4995 10830 10641 10794
3794 4137 5042 5214 9726 10820 9231
3799 3459 5420 4148 8892 10860 10282
3861 3326 4850 4197 10239 7459 6546
3892 3447 5333 5145 10979 10803 10980
3893 3472 4920 4354 8602 10981 10982
3912 3918 4354 4920 8654 10981 11013
4034 3632 4187 5145 10301 11198 10345
4042 3700 4643 5110 6086 6385 11212
4049 3472 5396 4184 9136 11222 8600
4061 3752 5254 4929 8770 6544 11243
4080 4187 5261 5145 6302 11271 11198
4092 5145 5261 3447 11271 6159 10980
4102 3971 4682 5158 10229 11299 11300
4131 3459 5254 4197 6545 6513 8890
4153 3470 4200 5273 9012 11376 6059
4170 3336 5278 4200 10144 11402 9981
4187 3552 5441 5042 6651 11423 9725
4188 943 944 4796 977 11424 9864
4214 868 869 4675 902 9587 11309
4253 3336 4924 4249 10591 8901 10143
4261 4682 5680 5158 11517 11518 11299
4290 821 4402 4983 10157 11556 11557
4297 823 824 5083 837 11565 9856
4328 3710 4983 4402 9372 11556 11604
4407 3804 5445 4564 11712 9387 11713
4481 942 943 5590 976 10211 11808
4511 3472 5361 4249 11842 9614 9135
4545 3806 5247 5094 8607 9684 11881
4589 3681 5347 4414 11939 11940 11941
4591 3818 5124 5271 11942 9894 11943
4597 3669 4269 5234 10569 11949 10551
4605 3469 5234 5572 10319 11961 11962
4611 4269 5572 5234 7006 11961 11949
4626 872 873 4790 906 10477 6461
4651 941 942 4759 975 12015 8609
4666 4098 5673 4402 10215 12039 8718
4668 3733 4934 5273 10544 6079 12040
4676 3284 4929 5158 12049 12050 7232
4708 3971 5158 4929 11300 12050 6050
4766 4070 5220 4719 9620 12154 9129
4775 825 826 4816 839 10807 6443
4834 824 4805 5083 8629 12235 11565
4917 3733 5361 4354 10515 12321 10543
4918 3710 4402 5673 11604 12039 12322
4920 3472 4354 5361 10982 12321 11842
4926 874 875 4905 908 8410 6348
4954 3469 4564 4931 12353 12354 12355
4960 3806 5094 5343 11881 10051 12360
4967 3418 5023 4468 12367 9186 9469
4968 3902 4931 4564 12368 12354 7722
4971 3818 5353 5124 9630 10137 11942
4978 3652 4759 5590 9248 12376 10220
4983 3711 5131 4920 8120 12383 8614
4993 3918 4920 5131 11013 12383 9417
5001 4055 5655 5445 12400 12401 12402
5039 3990 5328 4468 9287 12455 6856
5053 820 821 4983 834 11557 9326
5067 827 828 4991 841 9298 6748
5069 3710 4931 5113 12481 12482 7923
